City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,canico,32.6333,-16.85,18.73,74,40,3.09,PT,1707010096
333,tver,56.8619,35.8931,-1.51,98,100,4.02,RU,1707010097
334,yermakovskoye,53.2831,92.4003,-22.49,99,83,1.13,RU,1707010097
335,bridgewater,44.3835,-64.5155,-3.18,85,100,11.32,CA,1707010016
336,kirensk,57.7853,108.1119,-31.69,100,73,0.45,RU,1707010099
337,nanlong,31.3533,106.0631,5.13,85,100,1.86,CN,1707010099
338,osa,57.2829,55.4567,-10.99,97,100,1.91,RU,1707010100
339,harstad,68.799,16.5293,-1.03,96,100,18.33,NO,1707010101
340,dimona,31.0667,35.0333,8.03,51,0,2.62,IL,1707010101
341,novaya lyalya,59.055,60.599,-13.58,96,100,2.72,RU,1707010102
342,i-n-salah,27.1935,2.4607,12.28,49,0,6.77,DZ,1707010103
343,saint-philippe,-21.3585,55.7679,20.77,73,91,3.89,RE,1707010103
344,mahibadhoo,3.7833,72.9667,27.91,76,100,5.64,MV,1707010104
345,ulladulla,-35.35,150.4667,34.32,41,98,4.66,AU,1707010104
346,moab,38.5733,-109.5498,6.38,59,29,2.69,US,1707009966
347,rabigh,22.7986,39.0349,18.97,45,100,4.51,SA,1707010108
348,sandwich,41.6459,-88.6217,1.23,87,0,4.63,US,1707010108
349,namtsy,62.7161,129.6658,-40.78,99,63,0.41,RU,1707010109
350,vega de alatorre,20.0333,-96.6333,23.51,72,0,4.24,MX,1707010110
351,tanjungtiram,4.0613,98.3699,24.57,88,91,0.97,ID,1707009974
352,gisborne,-38.6533,178.0042,20.07,46,0,3.57,NZ,1707010112
353,sassandra,4.95,-6.0833,26.57,85,100,2.69,CI,1707010112
354,laojunmiao,39.8333,97.7333,-9.82,46,2,2.4,CN,1707010113
355,grand falls-windsor,48.9332,-55.6649,-4.16,90,100,3.58,CA,1707010003
356,lannemezan,43.1252,0.384,3.05,78,39,1.59,FR,1707010115
357,remire-montjoly,4.9167,-52.2667,27.02,94,20,2.06,GF,1707010116
358,cockburn town,21.4612,-71.1419,22.98,56,20,1.54,TC,1707009908
359,mbandaka,0.0487,18.2603,22.73,88,100,0.72,CD,1707010119
360,maceio,-9.6658,-35.7353,26.69,94,75,3.09,BR,1707010120
361,lompoc,34.6391,-120.4579,13.21,77,100,4.12,US,1707010017
